time,temperature (C),Volumetric Water Content (%),Electrical Conductivity (uS/cm),latitude,longlitude
2025-04-15 09:32:57,16.36,10.3,83,51.97609,5.620323
2025-04-17 16:02:31,23.53,19.1,419,51.97609,5.62061225373134
2025-04-17 16:07:18,23.07,82.66,6002,51.97609,5.62090150746269
2025-04-17 16:02:27,23.58,19.98,468,51.97609,5.62119076119403
2025-04-14 16:21:01,32.99,23.88,518,51.97609,5.62148001492537
2025-04-17 16:32:16,30.2,62.34,3238,51.97609,5.62176926865672
2025-04-14 14:47:30,24.69,0,116,51.97609,5.62205852238806
2025-04-14 15:43:45,30.32,10.74,113,51.97609,5.6223477761194
2025-04-15 09:24:32,8.84,15.3,396,51.97609,5.62263702985075
2025-04-14 15:44:02,30.39,13.01,157,51.97609,5.62292628358209
2025-04-17 16:31:55,28.84,53.51,2378,51.97609,5.62321553731343
2025-04-14 14:42:02,24.37,21.29,500,51.97609,5.62350479104478
2025-04-14 14:47:40,24.64,12.54,142,51.97609,5.62379404477612
2025-04-17 16:15:11,23.23,50.75,2028,51.97609,5.62408329850746
2025-04-15 09:33:17,17.23,10.63,102,51.97609,5.62437255223881
2025-04-15 09:32:06,16.7,9.28,73,51.97609,5.62466180597015
2025-04-14 14:47:09,24.49,12.85,141,51.97609,5.62495105970149
2025-04-17 16:03:54,23.51,20.13,449,51.97609,5.62524031343284
2025-04-17 16:02:11,23.58,14.9,336,51.97609,5.62552956716418
2025-04-15 09:22:24,9.78,9.44,76,51.97609,5.62581882089552
2025-04-17 16:06:25,23.3,86.58,5331,51.97609,5.62610807462687
2025-04-17 16:06:06,23.86,67.26,4908,51.97609,5.62639732835821
2025-04-14 14:46:57,24.47,14.03,179,51.97609,5.62668658208955
2025-04-15 09:41:02,17.81,15.3,362,51.97609,5.6269758358209
2025-04-15 09:39:07,17.56,15.62,386,51.97609,5.62726508955224
2025-04-17 16:06:33,23.17,77.41,5345,51.97609,5.62755434328358
2025-04-15 09:22:07,9.75,11.11,96,51.97609,5.62784359701493
2025-04-14 16:21:02,32.99,23.88,518,51.97609,5.62813285074627
2025-04-17 15:59:50,24.16,10.63,94,51.97609,5.62842210447761
2025-04-14 15:45:12,30.15,22.81,740,51.97609,5.62871135820896
2025-04-15 09:39:03,17.56,15.58,385,51.97609,5.6290006119403
2025-04-14 14:44:03,24.37,22.07,465,51.97609,5.62928986567164
2025-04-14 15:45:18,30.1,22.97,745,51.97609,5.62957911940299
2025-04-14 15:43:28,30.03,10.14,89,51.97609,5.62986837313433
2025-04-17 16:32:57,29.33,54.65,2939,51.97609,5.63015762686567
2025-04-15 09:39:32,17.31,17.4,447,51.97609,5.63044688059702
2025-04-17 16:25:55,27.23,100,6190,51.97609,5.63073613432836
2025-04-17 16:03:17,23.38,18.63,394,51.97609,5.6310253880597
2025-04-15 09:39:27,17.34,15.51,445,51.97609,5.63131464179105
2025-04-17 16:27:03,28.35,91.57,5398,51.97609,5.63160389552239
2025-04-17 16:03:55,23.51,12.7,216,51.97609,5.63189314925373
2025-04-17 16:00:02,24.01,2.82,24,51.97609,5.63218240298508
2025-04-17 16:32:05,29.67,62.34,3268,51.97609,5.63247165671642
2025-04-14 14:46:50,24.49,13.88,181,51.97609,5.63276091044776
2025-04-14 14:44:06,24.37,22.07,466,51.97609,5.6330501641791
2025-04-15 09:25:34,8.54,14.9,369,51.97609,5.63333941791045
2025-04-17 16:16:52,22.79,52.72,2547,51.97609,5.63362867164179
2025-04-15 09:40:14,17.81,15.22,360,51.97609,5.63391792537313
2025-04-15 09:33:33,17.09,10.63,106,51.97609,5.63420717910448
2025-04-17 16:33:48,28.16,53.27,2226,51.97609,5.63449643283582
2025-04-17 16:30:56,29.3,55.97,3034,51.97609,5.63478568656716
2025-04-15 09:40:35,17.81,15.26,363,51.97609,5.63507494029851
2025-04-17 16:31:18,28.99,56.16,3069,51.97609,5.63536419402985
2025-04-17 16:17:01,23.07,55.7,2951,51.97609,5.63565344776119
2025-04-14 15:45:57,29.33,4.46,360,51.97609,5.63594270149254
2025-04-17 16:32:40,29.72,64.25,3519,51.97609,5.63623195522388
2025-04-15 09:40:02,17.81,15.26,356,51.97609,5.63652120895522
2025-04-17 16:17:28,0,0,0,51.97609,5.63681046268657
2025-04-14 14:47:48,24.69,12.54,142,51.97609,5.63709971641791
2025-04-15 09:39:18,17.45,15.47,439,51.97609,5.63738897014925
2025-04-17 16:00:29,23.3,10.47,87,51.97609,5.6376782238806
2025-04-17 16:06:38,23.17,6,490,51.97609,5.63796747761194
2025-04-14 16:39:11,35.49,10.86,106,51.97609,5.63825673134328
2025-04-17 16:15:00,23.1,1.9,229,51.97609,5.63854598507463
2025-04-14 16:21:16,32.99,23.88,520,51.97609,5.63883523880597
2025-04-17 16:31:27,28.67,53.27,2329,51.97609,5.63912449253731
2025-04-17 16:06:53,23.17,6.17,722,51.97609,5.63941374626866
2025-04-17 16:31:04,29.11,56.07,3063,51.97609,5.639703
2025-04-17 16:07:08,23.15,63.74,5024,51.976236880597,5.620323
2025-04-15 09:38:46,17.34,14.61,425,51.976236880597,5.62061225373134
2025-04-14 16:38:53,35.49,12.17,154,51.976236880597,5.62090150746269
2025-04-15 09:32:55,16.22,10.3,82,51.976236880597,5.62119076119403
2025-04-17 16:02:53,23.51,0,0,51.976236880597,5.62148001492537
2025-04-15 09:32:20,16.73,9.35,72,51.976236880597,5.62176926865672
2025-04-14 14:43:30,24.24,22.27,474,51.976236880597,5.62205852238806
2025-04-15 09:39:45,17.53,17.46,460,51.976236880597,5.6223477761194
2025-04-17 16:17:22,23.2,51.12,2533,51.976236880597,5.62263702985075
2025-04-17 16:06:50,23.17,70.18,4011,51.976236880597,5.62292628358209
2025-04-17 16:30:45,30.9,14.29,959,51.976236880597,5.62321553731343
